0: CPU Microbenchmarks:
0: Inter-CPU Microbenchmarks will be run with the following:
0: # Processes per NUMA: 18
0: # Processes per socket: 18
0: # Processes per node: 72
0: # of nodes: 2
0: If these are incorrect, edit the defines at the top of benchmarks/microbenchmarks.cpp
0: intra-socket tests will not be run because there is only one NUMA per socket.  The timings will be gathered in inter-NUMA tests.
0: 
0: 
0: Running standard ping-pongs
0: 
0: On-NUMA Ping-Pong:
0: Size 128: 6.041802e-06
0: Size 256: 6.194759e-06
0: Size 512: 6.264921e-06
0: Size 1024: 6.397659e-06
0: Size 2048: 6.675392e-06
0: Size 4096: 7.318969e-06
0: Size 8192: 8.691316e-06
0: Size 16384: 1.270258e-05
0: Size 32768: 2.644878e-05
0: Size 65536: 5.135772e-05
0: Size 131072: 1.019084e-04
0: Size 262144: 2.027339e-04
0: Size 524288: 4.060941e-04
0: Size 1048576: 8.092545e-04
0: Size 2097152: 1.618706e-03
0: Size 4194304: 3.257631e-03
0: Size 8388608: 6.511092e-03
0: Size 16777216: 1.303756e-02
0: Size 33554432: 2.608451e-02
0: Size 67108864: 5.224138e-02
0: Size 134217728: 1.047994e-01
0: Size 268435456: 2.105802e-01
0: Size 536870912: 4.246545e-01
0: 
0: Active Procs: 64
0: Rank 0 sending to 72
0: Size 1: 4.947792e-06
0: Size 2: 4.949094e-06
0: Size 4: 4.945372e-06
0: Size 8: 4.950846e-06
0: Size 16: 4.952247e-06
0: Size 32: 4.956678e-06
0: Size 64: 4.965595e-06
0: Size 128: 6.056319e-06
0: Size 256: 6.224384e-06
0: Size 512: 6.291515e-06
0: Size 1024: 6.424824e-06
0: Size 2048: 6.794906e-06
0: Size 4096: 7.351952e-06
0: Size 8192: 9.017761e-06
0: Size 16384: 1.276573e-05
0: Size 32768: 2.659231e-05
0: Size 65536: 5.136277e-05
0: Size 131072: 1.019209e-04
0: Size 262144: 2.027158e-04
0: Size 524288: 4.054444e-04
0: Size 1048576: 8.118193e-04
0: Size 2097152: 1.619098e-03
0: Size 4194304: 3.258726e-03
0: Size 8388608: 6.531768e-03
0: Size 16777216: 1.304220e-02
0: Size 33554432: 2.610643e-02
0: Size 67108864: 5.226439e-02
0: Size 134217728: 1.048226e-01
0: Size 268435456: 2.106908e-01
0: Size 536870912: 4.242179e-01
0: 
0: Active Procs: 72
0: Rank 0 sending to 72
0: Size 1: 4.956775e-06
0: Size 2: 4.949281e-06
0: Size 4: 4.944188e-06
0: Size 8: 4.950249e-06
0: Size 16: 4.950351e-06
0: Size 32: 4.954553e-06
0: Size 64: 4.955507e-06
0: Size 128: 6.049970e-06
0: Size 256: 6.232251e-06
0: Size 512: 6.291133e-06
0: Size 1024: 6.432896e-06
0: Size 2048: 6.704719e-06
0: Size 4096: 7.341369e-06
0: Size 8192: 8.668803e-06
0: Size 16384: 1.270951e-05
0: Size 32768: 2.657953e-05
0: Size 65536: 5.137408e-05
0: Size 131072: 1.019248e-04
0: Size 262144: 2.027121e-04
0: Size 524288: 4.057500e-04
0: Size 1048576: 8.117275e-04
0: Size 2097152: 1.619080e-03
0: Size 4194304: 3.259507e-03
0: Size 8388608: 6.529262e-03
0: Size 16777216: 1.304126e-02
0: Size 33554432: 2.610852e-02
0: Size 67108864: 5.228896e-02
0: Size 134217728: 1.048084e-01
0: Size 268435456: 2.107714e-01
0: Size 536870912: 4.243655e-01
0: 
0: On-NUMA MultiProc Ping-Pong, All NUMAs Active:
0: Active Procs: 1
0: Rank 0 sending to 9
0: Size 1: 2.397903e-06
0: Size 2: 2.402586e-06
0: Size 4: 2.401002e-06
0: Size 8: 2.402072e-06
0: Size 16: 2.400351e-06
0: Size 32: 2.435223e-06
0: Size 64: 2.596047e-06
0: Size 128: 2.443413e-06
