0: CPU Microbenchmarks:
0: Inter-CPU Microbenchmarks will be run with the following:
0: # Processes per NUMA: 18
0: # Processes per socket: 18
0: # Processes per node: 72
0: # of nodes: 2
0: If these are incorrect, edit the defines at the top of benchmarks/microbenchmarks.cpp
0: intra-socket tests will not be run because there is only one NUMA per socket.  The timings will be gathered in inter-NUMA tests.
0: 
0: 
0: Running standard ping-pongs
0: 
0: On-NUMA Ping-Pong:
0: Size 32: 4.961611e-06
0: Size 64: 4.953735e-06
0: Size 128: 6.051271e-06
0: Size 256: 6.206228e-06
0: Size 512: 6.265398e-06
0: Size 1024: 6.397511e-06
0: Size 2048: 6.671053e-06
0: Size 4096: 7.273657e-06
0: Size 8192: 8.677825e-06
0: Size 16384: 1.280644e-05
0: Size 32768: 2.655176e-05
0: Size 65536: 5.133654e-05
0: Size 131072: 1.019174e-04
0: Size 262144: 2.028200e-04
0: Size 524288: 4.046941e-04
0: Size 1048576: 8.088608e-04
0: Size 2097152: 1.618145e-03
0: Size 4194304: 3.245112e-03
0: Size 8388608: 6.508039e-03
0: Size 16777216: 1.302240e-02
0: Size 33554432: 2.607700e-02
0: Size 67108864: 5.222406e-02
0: Size 134217728: 1.047415e-01
0: Size 268435456: 2.105687e-01
0: Size 536870912: 4.250740e-01
0: 
0: Active Procs: 64
0: Rank 0 sending to 72
0: Size 1: 4.967855e-06
0: Size 2: 4.950841e-06
0: Size 4: 4.955020e-06
0: Size 8: 4.941435e-06
0: Size 16: 4.991390e-06
0: Size 32: 4.957375e-06
0: Size 64: 4.975754e-06
0: Size 128: 6.060399e-06
0: Size 256: 6.219923e-06
0: Size 512: 6.283425e-06
0: Size 1024: 6.427669e-06
0: Size 2048: 6.695894e-06
0: Size 4096: 7.317598e-06
0: Size 8192: 9.018473e-06
0: Size 16384: 1.282156e-05
0: Size 32768: 2.648826e-05
0: Size 65536: 5.135746e-05
0: Size 131072: 1.019176e-04
0: Size 262144: 2.027930e-04
0: Size 524288: 4.047891e-04
0: Size 1048576: 8.110636e-04
0: Size 2097152: 1.618930e-03
0: Size 4194304: 3.249204e-03
0: Size 8388608: 6.544334e-03
0: Size 16777216: 1.304108e-02
0: Size 33554432: 2.609586e-02
0: Size 67108864: 5.228080e-02
0: Size 134217728: 1.048633e-01
0: Size 268435456: 2.107205e-01
0: Size 536870912: 4.241988e-01
0: 
0: Active Procs: 72
0: Rank 0 sending to 72
0: Size 1: 4.947260e-06
0: Size 2: 4.944226e-06
0: Size 4: 4.954308e-06
0: Size 8: 4.950204e-06
0: Size 16: 5.001940e-06
0: Size 32: 4.953636e-06
0: Size 64: 4.989755e-06
0: Size 128: 6.064284e-06
0: Size 256: 6.221617e-06
0: Size 512: 6.288958e-06
0: Size 1024: 6.433770e-06
0: Size 2048: 6.718527e-06
0: Size 4096: 7.325169e-06
0: Size 8192: 8.615439e-06
0: Size 16384: 1.277796e-05
0: Size 32768: 2.650832e-05
0: Size 65536: 5.137132e-05
0: Size 131072: 1.019142e-04
0: Size 262144: 2.027897e-04
0: Size 524288: 4.054185e-04
0: Size 1048576: 8.107196e-04
0: Size 2097152: 1.619782e-03
0: Size 4194304: 3.248446e-03
0: Size 8388608: 6.528919e-03
0: Size 16777216: 1.304161e-02
0: Size 33554432: 2.610290e-02
0: Size 67108864: 5.229298e-02
0: Size 134217728: 1.048623e-01
0: Size 268435456: 2.107474e-01
0: Size 536870912: 4.243394e-01
0: 
0: On-NUMA MultiProc Ping-Pong, All NUMAs Active:
0: Active Procs: 1
0: Rank 0 sending to 9
0: Size 1: 2.004915e-06
0: Size 2: 2.005555e-06
0: Size 4: 2.004840e-06
0: Size 8: 2.004798e-06
0: Size 16: 2.006737e-06
0: Size 32: 2.027613e-06
0: Size 64: 2.165129e-06
0: Size 128: 2.078493e-06
